id,begin_date,end_date,label,gare_source,duration
e22ecea8-b77c-4344-b366-09467469ea6e,2024-07-22 22:17:10,2024-07-22 22:55:09,voyageur,Charles de Gaulle-Etoile,0 days 00:37:59
b7f3472c-3b4e-444c-853e-970e8406f7d2,2024-07-22 16:41:43,2024-07-22 17:44:43,divers,Marne-la-Vallée-Chessy,0 days 01:03:00
eb6b454d-e94d-4598-8530-46a1977f9375,2024-07-22 11:24:33,2024-07-22 11:29:50,signal alarme,Noisy-le-Grand-Mont d'Est,0 days 00:05:17
d8a62a99-1efc-4732-b4e3-a6bb8d399edd,2024-07-22 08:33:15,2024-07-22 08:37:51,signal alarme,Achères Ville,0 days 00:04:36
2f5360b4-f5e6-425d-9cf7-eacb7df6f1da,2024-07-22 07:02:55,2024-07-22 07:06:25,bagage oublie,Gare de Lyon,0 days 00:03:30
163ce5a2-4465-4322-adef-dc8836ebf51d,2024-07-21 19:10:43,2024-07-21 19:13:40,intervention personnel,Torcy,0 days 00:02:57
0fe2cf57-48da-4c42-95a8-fcc651a11877,2024-07-21 17:27:07,2024-07-21 17:28:28,intervention personnel,La Défense,0 days 00:01:21
0c046e0b-011f-4230-a14e-f9f0566efeb1,2024-07-21 13:46:03,2024-07-21 15:24:04,voyageur,Châtelet les Halles,0 days 01:38:01
d4012813-b212-4bf9-a06d-b1d12a469ff2,2024-07-20 15:39:28,2024-07-20 17:06:05,voyageur,Cergy le Haut,0 days 01:26:37
aa1db763-062e-4e0a-a02e-de044e63bdc8,2024-07-20 14:07:54,2024-07-20 15:27:15,panne train,Poissy,0 days 01:19:21
e64930ba-087f-4417-918b-0ea0c8724123,2024-07-20 13:22:53,2024-07-20 14:00:12,intervention personnel,Nanterre Préfecture,0 days 00:37:19
2705aa0b-cae3-4337-9f27-4eb9feab6459,2024-07-20 03:37:51,2024-07-20 05:55:56,catenaires,,0 days 02:18:05
23e1df0b-62fc-4a9c-bf0d-e02c1cc61b5d,2024-07-19 13:38:34,2024-07-19 22:34:03,catenaires,Achères Ville,0 days 08:55:29
d025b42d-cc8e-4e44-86e8-1010b129665e,2024-07-19 12:30:45,2024-07-19 12:52:13,voyageur,Bussy-Saint-Georges,0 days 00:21:28
24ac800f-f9bc-4e93-ae38-fdfe4195e26d,2024-07-19 12:02:54,2024-07-19 12:05:24,voyageur,Fontenay-sous-Bois,0 days 00:02:30
eab7690e-f827-46b1-ade7-e0deda615a63,2024-07-19 11:36:49,2024-07-19 11:37:58,porte,Lognes,0 days 00:01:09
fce6aab6-cc0f-4be2-b8ef-a36d84e86729,2024-07-19 08:55:51,2024-07-19 09:22:40,intervention personnel,Nanterre Préfecture,0 days 00:26:49
8c38131a-87ea-4f3b-8fd5-e3db52b3b523,2024-07-19 06:42:31,2024-07-19 06:46:28,bagage oublie,Cergy le Haut,0 days 00:03:57
959846f8-4c46-4de3-a40b-f81252e8236d,2024-07-19 06:25:54,2024-07-19 06:46:22,intervention personnel,La Défense,0 days 00:20:28
f31692c8-c533-4b87-b64f-b113a2eef4a3,2024-07-19 05:41:45,2024-07-19 05:43:41,intervention personnel,Noisy-le-Grand-Mont d'Est,0 days 00:01:56
e7a783e1-e92a-48ca-9d7e-6c11b0bd4e12,2024-07-18 22:20:59,2024-07-18 22:25:59,panne train,Conflans Fin d'Oise,0 days 00:05:00
96dae615-dcac-4667-9141-a0a6edb445bd,2024-07-18 21:21:34,2024-07-18 22:18:06,porte,Rueil-Malmaison,0 days 00:56:32
e13f83f8-bd98-4236-a433-8ebe24f5fd21,2024-07-18 18:44:18,2024-07-18 19:41:19,panne train,Saint-Germain-en-Laye,0 days 00:57:01
ea3c0af7-7734-4b2b-8d10-6940e8a68f1f,2024-07-18 12:23:06,2024-07-18 12:45:36,intervention personnel,Nation,0 days 00:22:30
64d9db63-6d55-4e8e-8a1a-a7ab3ace8a5a,2024-07-18 07:27:34,2024-07-18 07:29:17,ajustement intervalle,Bussy-Saint-Georges,0 days 00:01:43
8e2a5a99-859b-4a72-b45a-a0060c554c42,2024-07-18 03:49:30,2024-07-18 06:02:08,panne train,Auber,0 days 02:12:38
cb068f57-e8bf-4f2d-8b3e-17adb7cb49e9,2024-07-18 03:13:43,2024-07-18 03:23:09,chantier,Boissy-Saint-Léger,0 days 00:09:26
d2fd6198-e7d4-4ed2-a809-88ab8ff388ee,2024-07-17 19:17:58,2024-07-17 19:45:57,voyageur,Nation,0 days 00:27:59
2a670ef9-bc18-4741-bb76-6825ead1603e,2024-07-17 15:43:27,2024-07-17 16:00:44,voyageur,Marne-la-Vallée-Chessy,0 days 00:17:17
b0cb4cc3-0d71-49c4-8146-1d1e2cec709c,2024-07-17 13:51:23,2024-07-17 14:31:28,signalisation,Poissy,0 days 00:40:05
ba2eedcd-5c07-41a3-abe9-814be6d6fd3a,2024-07-17 11:48:20,2024-07-17 11:52:46,voyageur,Parc de Saint-Maur,0 days 00:04:26
6db27118-8896-48d0-9769-6615bd3e281f,2024-07-17 06:37:30,2024-07-17 06:40:51,signal alarme,Neuilly-Plaisance,0 days 00:03:21
32596e48-b7f6-4986-8f5f-a0d7912dbf96,2024-07-17 06:28:26,2024-07-17 06:29:48,intervention personnel,La Défense,0 days 00:01:22
0e0f256a-9da4-477d-a70c-9eae53dfca6d,2024-07-17 05:55:15,2024-07-17 05:58:10,intervention personnel,Châtelet les Halles,0 days 00:02:55
82466285-c670-4a75-b2c5-0ad52782dc00,2024-07-17 04:37:13,2024-07-17 04:39:12,intervention personnel,La Défense,0 days 00:01:59
92e5b46b-bbdc-46ce-ba6d-12e63de18b6d,2024-07-16 20:38:50,2024-07-16 21:01:39,voyageur,Vincennes,0 days 00:22:49
6b486143-6fa7-4d61-96ad-9265bea705e8,2024-07-16 19:11:35,2024-07-16 19:47:29,voyageur,Marne-la-Vallée-Chessy,0 days 00:35:54
627a2a66-8a96-4161-8f7d-8e4e0416f6a4,2024-07-16 15:28:52,2024-07-16 16:01:49,signal alarme,Conflans Fin d'Oise,0 days 00:32:57
310b69a0-1695-4b17-b2d9-3a23dab727e6,2024-07-16 11:31:47,2024-07-16 11:33:04,porte,Gare de Lyon,0 days 00:01:17
414a69cd-8a46-42cd-b382-a00581f39196,2024-07-16 10:26:37,2024-07-16 10:31:31,signal alarme,Nation,0 days 00:04:54
4370a2d8-bc2e-459e-9b9b-b1b6c4b8ed8f,2024-07-16 06:37:22,2024-07-16 06:41:22,voyageur,Nation,0 days 00:04:00
e0c74c5b-1437-4a17-a701-b91f9d2ec1af,2024-07-15 20:40:47,2024-07-15 21:31:13,voyageur,Nanterre Université,0 days 00:50:26
0db753a3-0000-4243-83ee-1985c02106ec,2024-07-15 14:52:32,2024-07-15 14:55:24,porte,Noisy-le-Grand-Mont d'Est,0 days 00:02:52
d8abc17a-e5b4-4a0c-a980-28108cdeea40,2024-07-15 13:40:14,2024-07-15 13:44:36,signal alarme,Bry-sur-Marne,0 days 00:04:22
884095eb-c479-4589-a2df-14ca99563289,2024-07-15 12:57:21,2024-07-15 13:24:12,divers,,0 days 00:26:51
5ec2d6ae-ae39-4d4d-a1c2-5190a5918042,2024-07-15 05:25:12,2024-07-15 05:26:28,voyageur,Sartrouville,0 days 00:01:16
a85f01f3-600c-4420-98de-3f0d4322f817,2024-07-15 05:06:43,2024-07-15 05:11:46,incident exploitation,Achères Ville,0 days 00:05:03
5470151f-f755-4cc1-87d9-ff4af634cbeb,2024-07-15 02:59:57,2024-07-15 06:51:03,incident technique,Bry-sur-Marne,0 days 03:51:06
ac579e5e-44ee-4c07-9974-fb741fc10b0d,2024-07-14 13:45:46,2024-07-14 14:27:50,bagage oublie,Nanterre Préfecture,0 days 00:42:04
7ef59edd-5ba8-4742-81ba-1ba6bc64867a,2024-07-14 10:21:56,2024-07-14 10:27:28,signal alarme,Châtelet les Halles,0 days 00:05:32
c8130622-74ae-464f-934b-0e134f0f6946,2024-07-13 17:59:47,2024-07-13 18:02:54,signal alarme,Châtelet les Halles,0 days 00:03:07
25de1567-0f40-4997-9b28-82ae1fc5d59e,2024-07-13 13:21:20,2024-07-13 14:03:02,bagage oublie,Neuville Université,0 days 00:41:42
fcdc220b-f641-431c-be3f-a10b9f88f3df,2024-07-13 09:34:34,2024-07-13 09:35:25,panne train,Achères Ville,0 days 00:00:51
faf2a4a5-1a02-4ebc-8aa4-15d9edc6078f,2024-07-12 18:43:06,2024-07-12 19:06:34,bagage oublie,Marne-la-Vallée-Chessy,0 days 00:23:28
f7a5a3e6-2970-4cb0-886f-dcdcb98312e1,2024-07-12 11:48:06,2024-07-12 11:54:04,intervention personnel,Châtelet les Halles,0 days 00:05:58
7e27bf69-1740-4846-8458-64bad93c0c4f,2024-07-12 08:31:03,2024-07-12 09:11:00,bagage oublie,Nanterre Préfecture,0 days 00:39:57
4619d8de-c09b-4800-8577-c3ce9192214b,2024-07-12 07:37:26,2024-07-12 07:42:17,voies,Torcy,0 days 00:04:51
5b232a33-8823-47cb-ae3d-226ce5e80f38,2024-07-11 19:34:04,2024-07-11 19:37:21,signal alarme,Joinville-le-Pont,0 days 00:03:17
33386280-21d8-485b-96fd-f0e545439b6d,2024-07-11 10:51:58,2024-07-11 10:52:58,intervention personnel,Vincennes,0 days 00:01:00
0f53f074-52db-463e-ac46-b93886043b34,2024-07-11 07:28:07,2024-07-11 09:14:34,signalisation,Houilles-Carrières-sur-Seine,0 days 01:46:27
c1061235-4cc5-4d5e-925c-ae2e2c3deca2,2024-07-11 07:05:21,2024-07-11 07:10:16,signal alarme,La Défense,0 days 00:04:55
af090d67-0914-4a5d-84b3-b84432a85275,2024-07-10 14:12:21,2024-07-10 14:17:28,intervention personnel,Le Vésinet-Le Pecq,0 days 00:05:07
a0acacba-0216-49d3-b031-914bbf1a4c56,2024-07-10 09:17:32,2024-07-10 10:39:43,panne train,Conflans Fin d'Oise,0 days 01:22:11
